id,canonical,aliases,base_cost,description,ability_3_name,ability_3_summary,ability_10_name,ability_10_summary,wiki_url
quincy,Quincy,"q,default hero",540,,Rapid Shot,Triple attack speed for a short time.,Storm of Arrows,Covers a large area in a deadly rain of arrows.,https://bloons.fandom.com/wiki/Quincy
gwendolin,Gwendolin,"gwen,gwendo",725,,Cocktail of Fire,"Hurls a flask of flammable liquid, burning Bloons that pass through the fire.",Firestorm,"Sets the whole screen alight, burning all Bloons and granting the Heat It Up buff to all Monkeys.",https://bloons.fandom.com/wiki/Gwendolin
striker_jones,Striker Jones,"striker,jones",700,,Concussive Shell,"Shoots a guided shell following target priority, stunning whatever Bloon it hits.",Artillery Command,Resets cooldown on all Bomb Shooters and Mortar Monkeys.,https://bloons.fandom.com/wiki/Striker_Jones
obyn_greenfoot,Obyn Greenfoot,"obyn,greenfoot",650,,Brambles,Creates a spiked bush on the track that can pop 50 bloons. Lasts multiple rounds if not destroyed.,Wall of Trees,"Summons a wall of trees across the track that destroy all Bloons that enter. When full, the trees burst into money.",https://bloons.fandom.com/wiki/Obyn_Greenfoot
captain_churchill,Captain Churchill,"churchill,tank hero",2000,,Armor Piercing Shells,Shots can pop Black Bloons and do extra damage to Ceramic Bloons. Duration increases as Churchill levels.,MOAB Barrage,"Launches a barrage of shells at up to 10 MOAB-class Bloons on screen, dealing massive damage each time.",https://bloons.fandom.com/wiki/Captain_Churchill
benjamin,Benjamin,"ben,benji,hacker hero",1200,,Biohack,4 closest Monkeys pop an extra layer per attack for 6 seconds. Affected Monkeys can't attack for 2 seconds after effect ends.,Syphon Funding,Downgrades most newly spawned Bloons by 1 rank. Cash per pop from affected Bloons is double. Lasts 10 seconds.,https://bloons.fandom.com/wiki/Benjamin
ezili,Ezili,"ezi,voodoo",600,,Heartstopper,"slow Bloons, allow Purple popping and prevents any regrow from happening for 10 seconds.",MOAB Hex,"places a curse on a MOAB-Class Bloon, it takes damage every second until annihilated.",https://bloons.fandom.com/wiki/Ezili
pat_fusty,Pat Fusty,"pat,fusty,patrick",800,,Rallying Roar,All nearby Monkeys can pop +1 layer for a short time.,Big Squeeze,"Grabs a MOAB, BFB, DDT (if visible), or ZOMG and crushes it to bits over 5 seconds.",https://bloons.fandom.com/wiki/Pat_Fusty
adora,Adora,"ado,sun queen",1000,,The Long Arm of Light,Greatly increases attack range and power for a short time & damages all Bloon Types.,Ball of Light,Brings forth a powerful ball of energy to strike down the Bloons.,https://bloons.fandom.com/wiki/Adora
admiral_brickell,Admiral Brickell,"brickell,admiral,mines hero",900,,Naval Tactics,greatly increases attack speed of Brickell and nearby water-based Monkeys for a short time.,Mega Mine,deploys to any water area a devastating Mine that triggers on MOABs and stuns nearby Bloons. Mega Mines last 3 rounds.,https://bloons.fandom.com/wiki/Admiral_Brickell
etienne,Etienne,"eti,drone master",850,,Drone Swarm Ability,Etienne launches 4 more temporary drones to wreak some Bloon popping havoc.,UCAV ability,high altitude surveillance drone becomes devastating combat drone for a short time.,https://bloons.fandom.com/wiki/Etienne
sauda,Sauda,"saud,blade master",600,,Leaping Sword Attack,Sauda's dramatic Lead popping leap attack slams down on her targeted Bloons.,Sword Charge,"Sauda slides along the whole track, devastating Bloons as she goes.",https://bloons.fandom.com/wiki/Sauda
psi,Psi,"psy,psyc,psychic",1000,,Psychic Blast,Psi unleashes a wave of power that stuns nearby Bloons for a long time.,Psionic Scream,Psi unleashes a silent scream that throws the Bloons into utter chaos.,https://bloons.fandom.com/wiki/Psi
geraldo,Geraldo,"ger,gera,wizard merchant",750,,See Invisibility Potion,grants short term camo detection to a Monkey Tower or Hero. Geraldo's attack range increases.,Pet Rabbit,aww what a cute widdle bunny wabbit!,https://bloons.fandom.com/wiki/Geraldo
corvus,Corvus,"cor,raven hero",1025,,Soul Harvest Ability,"Harvests nearby Bloons in an instant. Learns: Echo, Haste",Dark Ritual ability,Harvest a huge number of Bloons near Corvus. Trample does more damage to more Bloons. Learns: Recovery,https://bloons.fandom.com/wiki/Corvus
rosalia,Rosalia,rosa,875,,Scatter missile ability,Rosalia's workshop launches a missile that rains destruction from above.,Kinetic Charge Ability,"Charge attaches to a Bloon, harnessing energy when the target takes damage. Then releases accumulated energy in a huge detonation.",https://bloons.fandom.com/wiki/Rosalia
silas,Silas,"si,ice hero",850,,Frostbite ability,"Silas can hit all Bloons while active. When hitting frozen Bloons, target takes extra damage based on remaining freeze time.",Frozen Burial ability,"Immediately freezes and damages all Bloons, dealing far more damage to already frozen Bloons. Then fills the track with Ice Walls.",https://bloons.fandom.com/wiki/Silas
